created_at,entry_id,field2
2015-12-03 22:10:03 UTC,11393,88
2015-12-03 22:11:35 UTC,11396,88
2015-12-03 22:11:52 UTC,11397,88
2015-12-03 22:12:44 UTC,11399,88
2015-12-03 22:17:33 UTC,11408,89
2015-12-03 22:31:11 UTC,11434,91
2015-12-03 22:36:07 UTC,11443,91
2015-12-03 22:58:21 UTC,11485,93
2015-12-03 23:04:17 UTC,11496,93
2015-12-03 23:07:15 UTC,11502,94
2015-12-03 23:13:10 UTC,11514,94
2015-12-03 23:19:09 UTC,11526,95
2015-12-03 23:25:04 UTC,11536,96
2015-12-03 23:28:03 UTC,11542,97
2015-12-03 23:34:00 UTC,11554,99
2015-12-03 23:39:58 UTC,11565,97
2015-12-03 23:42:57 UTC,11571,96
2015-12-03 23:48:55 UTC,11583,98
2015-12-03 23:57:52 UTC,11600,101
2015-12-04 00:03:50 UTC,11611,104
2015-12-04 00:09:44 UTC,11622,103
2015-12-04 00:12:42 UTC,11628,103
2015-12-04 00:18:38 UTC,11640,105
2015-12-04 00:27:34 UTC,11657,106
2015-12-04 00:33:28 UTC,11669,106
2015-12-04 00:39:28 UTC,11680,107
2015-12-04 00:42:27 UTC,11686,108
2015-12-04 00:48:22 UTC,11698,109
2015-12-04 00:54:19 UTC,11709,110
2015-12-04 00:57:17 UTC,11715,111
2015-12-04 01:03:16 UTC,11727,110
2015-12-04 01:09:12 UTC,11738,111
2015-12-04 01:12:13 UTC,11744,112
2015-12-04 01:18:12 UTC,11755,110
2015-12-04 01:21:10 UTC,11761,108
2015-12-04 01:27:05 UTC,11773,106
2015-12-04 01:33:03 UTC,11784,106
2015-12-04 01:38:56 UTC,11795,105
2015-12-04 01:41:55 UTC,11801,107
2015-12-04 01:47:50 UTC,11813,105
2015-12-04 01:53:47 UTC,11824,107
2015-12-04 01:59:43 UTC,11835,106
2015-12-04 02:02:39 UTC,11841,106
2015-12-04 02:08:36 UTC,11853,106
2015-12-04 02:14:30 UTC,11864,106
2015-12-04 02:17:31 UTC,11870,106
2015-12-04 02:23:29 UTC,11882,106
2015-12-04 02:29:22 UTC,11893,105
2015-12-04 02:32:20 UTC,11899,104
2015-12-04 02:38:12 UTC,11911,105
2015-12-04 02:44:09 UTC,11923,106
2015-12-04 02:50:04 UTC,11934,106
2015-12-04 02:53:03 UTC,11940,104
2015-12-04 02:56:01 UTC,11946,104
2015-12-04 02:58:59 UTC,11952,106
2015-12-04 03:04:55 UTC,11963,105
2015-12-04 03:10:49 UTC,11974,105
2015-12-04 03:13:47 UTC,11980,104
2015-12-04 03:19:42 UTC,11992,104
2015-12-04 03:25:38 UTC,12003,106
2015-12-04 03:31:34 UTC,12014,104
2015-12-04 03:34:33 UTC,12020,104
2015-12-04 03:40:36 UTC,12031,103
2015-12-04 03:43:32 UTC,12037,105
2015-12-04 03:49:28 UTC,12049,105
2015-12-04 03:55:24 UTC,12060,105
2015-12-04 03:58:23 UTC,12066,105
2015-12-04 04:01:19 UTC,12072,103
2015-12-04 04:04:19 UTC,12078,105
2015-12-04 04:10:18 UTC,12089,103
2015-12-04 04:13:17 UTC,12095,101
2015-12-04 04:19:15 UTC,12107,104
2015-12-04 04:25:11 UTC,12118,103
2015-12-04 04:28:08 UTC,12124,103
2015-12-04 04:34:06 UTC,12136,104
2015-12-04 04:39:59 UTC,12147,104
2015-12-04 04:45:56 UTC,12157,102
2015-12-04 04:48:54 UTC,12163,102
2015-12-04 04:54:51 UTC,12175,101
2015-12-04 05:00:50 UTC,12186,102
2015-12-04 05:03:49 UTC,12192,102
2015-12-04 05:09:44 UTC,12204,100
2015-12-04 05:15:37 UTC,12215,102
2015-12-04 05:21:37 UTC,12226,102
2015-12-04 05:24:33 UTC,12232,99
2015-12-04 05:30:30 UTC,12244,102
2015-12-04 05:36:29 UTC,12255,102
2015-12-04 05:39:25 UTC,12261,102
2015-12-04 05:45:23 UTC,12273,102
2015-12-04 05:54:23 UTC,12290,101
2015-12-04 06:00:21 UTC,12301,101
2015-12-04 06:03:19 UTC,12307,102
2015-12-04 06:06:15 UTC,12313,101
2015-12-04 06:09:14 UTC,12319,101
2015-12-04 06:15:10 UTC,12330,101
2015-12-04 06:21:05 UTC,12341,101
2015-12-04 06:24:03 UTC,12347,101
2015-12-04 06:29:59 UTC,12359,101
2015-12-04 06:35:58 UTC,12370,101
2015-12-04 06:38:58 UTC,12376,101
2015-12-04 06:44:50 UTC,12388,101
2015-12-04 06:50:46 UTC,12400,101
2015-12-04 06:53:48 UTC,12406,101
2015-12-04 06:59:47 UTC,12418,101
2015-12-04 07:05:43 UTC,12429,97
2015-12-04 07:08:42 UTC,12435,101
2015-12-04 07:14:39 UTC,12447,100
2015-12-04 07:23:38 UTC,12464,100
2015-12-04 07:29:34 UTC,12475,100
2015-12-04 07:32:34 UTC,12481,100
2015-12-04 07:38:32 UTC,12493,97
2015-12-04 07:44:28 UTC,12504,100
2015-12-04 07:47:28 UTC,12510,100
2015-12-04 07:53:46 UTC,12522,100
2015-12-04 07:59:44 UTC,12533,100
2015-12-04 08:02:42 UTC,12539,96
2015-12-04 08:08:40 UTC,12551,99
2015-12-04 08:17:43 UTC,12568,99
2015-12-04 08:23:40 UTC,12579,99
2015-12-04 08:26:39 UTC,12585,99
2015-12-04 08:32:32 UTC,12597,99
2015-12-04 08:38:26 UTC,12608,99
2015-12-04 08:44:24 UTC,12619,99
2015-12-04 08:47:21 UTC,12625,98
2015-12-04 08:53:16 UTC,12637,98
2015-12-04 08:59:12 UTC,12648,98
2015-12-04 09:02:11 UTC,12654,99
2015-12-04 09:08:07 UTC,12666,98
2015-12-04 09:14:06 UTC,12677,98
2015-12-04 09:17:08 UTC,12683,98
2015-12-04 09:23:04 UTC,12695,98
2015-12-04 09:29:01 UTC,12706,98
2015-12-04 09:32:00 UTC,12712,98
2015-12-04 09:37:54 UTC,12724,98
2015-12-04 09:43:54 UTC,12735,98
2015-12-04 09:46:53 UTC,12741,98
2015-12-04 09:52:49 UTC,12753,98
2015-12-04 10:01:48 UTC,12770,98
